Time,ERROR
0.0,-2.3841858E-7
1.0,-8.465654
2.0,-1.1512902
3.0,-4.149268
4.0,-7.8632383
5.0,-4.1357756
6.0,-2.8233492
7.0,-5.714464
8.0,-6.158408
9.0,-4.1447096
10.0,-3.8357098
11.0,-5.2169447
12.0,-5.4214716
13.0,-4.472563
14.0,-4.3385925
15.0,-4.9926844
16.0,-5.079584
17.0,-4.6454678
18.0,-4.56493
19.0,-4.8805246
20.0,-4.9222803
21.0,-4.703945
22.0,-4.674102
23.0,-4.8240776
24.0,-4.8445816
25.0,-4.746129
26.0,-4.7274904
27.0,-4.7986097
28.0,-4.8079014
29.0,-4.7564316
30.0,-4.754427
