Time,Energy
0.0,1000.0
1.0,-581.97455
2.0,558.98126
3.0,417.03235
4.0,-297.57803
5.0,-215.07338
6.0,205.04834
7.0,133.75113
8.0,-185.95267
9.0,-130.08719
10.0,71.606255
11.0,31.609882
12.0,-118.296715
13.0,-89.43423
14.0,9.752394
15.0,-9.535598
16.0,-80.1999
17.0,-66.972015
18.0,-19.613873
19.0,-28.818352
20.0,-61.91331
21.0,-55.397808
22.0,-32.823803
23.0,-37.42172
24.0,-53.22716
25.0,-50.067284
26.0,-38.56573
27.0,-42.955814
28.0,-49.8846
29.0,-44.348404
30.0,-41.547626
